https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.62599E+12,2021/7/11 08:00,BTC/USDT,33508.82,33800,33424.84,33690.69,1425.422146,47944926.47,40516
1.62599E+12,2021/7/11 07:00,BTC/USDT,33461.5,33555.55,33372.06,33508.83,808.258858,27046138.35,18779
1.62598E+12,2021/7/11 06:00,BTC/USDT,33590.51,33642.74,33420,33463.74,783.35875,26267384.34,19316
1.62598E+12,2021/7/11 05:00,BTC/USDT,33460.7,33636.85,33419.08,33590.53,791.397732,26555496.3,34623
1.62598E+12,2021/7/11 04:00,BTC/USDT,33448.97,33550,33306.47,33460.69,1271.092712,42450302.64,75239
1.62597E+12,2021/7/11 03:00,BTC/USDT,33519.16,33574.79,33387.72,33448.97,1232.266163,41261407.76,52573
1.62597E+12,2021/7/11 02:00,BTC/USDT,33614.49,33669.58,33515,33519.17,701.930613,23582191.82,16977
1.62597E+12,2021/7/11 01:00,BTC/USDT,33720,33783.68,33557.6,33614.49,946.17958,31862335.46,19473
1.62596E+12,2021/7/11 00:00,BTC/USDT,33502.87,33817.83,33456,33719.99,1260.246051,42400029.24,34505
1.62596E+12,2021/7/10 23:00,BTC/USDT,33646.88,33683.14,33485.98,33502.87,912.000484,30648645.15,19343
1.62595E+12,2021/7/10 22:00,BTC/USDT,33428.57,33698.99,33416.82,33646.87,907.735788,30453777.03,23385
1.62595E+12,2021/7/10 21:00,BTC/USDT,33324.49,33440,33275,33428.57,756.812543,25254578.28,22266
1.62595E+12,2021/7/10 20:00,BTC/USDT,33411.41,33411.42,33004.78,33324.49,2104.877652,69944161.38,41265
1.62594E+12,2021/7/10 19:00,BTC/USDT,33466.71,33568,33320.41,33409.92,1159.187916,38782268.74,24981
1.62594E+12,2021/7/10 18:00,BTC/USDT,33397.27,33468.98,33340,33466.71,843.633254,28189802.04,35507
1.62594E+12,2021/7/10 17:00,BTC/USDT,34018.15,34021.52,33223.31,33397.27,3743.795551,125558669.5,76684
1.62593E+12,2021/7/10 16:00,BTC/USDT,33862.55,34192,33794.12,34018.16,2483.648596,84520033.82,85483
1.62593E+12,2021/7/10 15:00,BTC/USDT,33820.01,33931.1,33790,33862.54,906.049202,30680265.86,29847
1.62593E+12,2021/7/10 14:00,BTC/USDT,33700.31,33850,33649.14,33820.01,900.717189,30396743.89,21541
1.62592E+12,2021/7/10 13:00,BTC/USDT,33858.28,33898.17,33634.16,33700.31,1331.156127,44942120.54,26159
1.62592E+12,2021/7/10 12:00,BTC/USDT,33793.95,33943.4,33744.4,33861.02,1213.69747,41055314.09,23407
1.62591E+12,2021/7/10 11:00,BTC/USDT,33624.09,33911.82,33565,33793.94,1674.956798,56492816.28,64055
1.62591E+12,2021/7/10 10:00,BTC/USDT,33735.98,33800,33599.98,33624.08,1314.386906,44250656.55,38297
1.62591E+12,2021/7/10 09:00,BTC/USDT,33761.72,33900,33711.95,33732.57,988.180519,33411826.31,22705
1.6259E+12,2021/7/10 08:00,BTC/USDT,33766.01,33950,33686,33762.79,1586.690134,53679224.53,48575
1.6259E+12,2021/7/10 07:00,BTC/USDT,33813.3,33813.3,33610.09,33766.01,813.772412,27437804.02,21126
1.6259E+12,2021/7/10 06:00,BTC/USDT,33649.03,33865.67,33581.73,33813.31,970.780956,32724297.12,22766
1.62589E+12,2021/7/10 05:00,BTC/USDT,33651.7,33738.33,33458.84,33649.03,2057.113865,69160871.9,32530
1.62589E+12,2021/7/10 04:00,BTC/USDT,33800.04,33909.67,33618.77,33651.69,1345.152135,45421127.67,27876
1.62589E+12,2021/7/10 03:00,BTC/USDT,33729.25,33859.92,33700.34,33800.03,1133.387276,38301647.26,25767
1.62588E+12,2021/7/10 02:00,BTC/USDT,33765.42,33869.18,33631,33729.25,1599.937661,54010056.99,32879
1.62588E+12,2021/7/10 01:00,BTC/USDT,34039.95,34097.72,33765,33767.02,1863.994587,63245588.3,46279
1.62588E+12,2021/7/10 00:00,BTC/USDT,33815.81,34262,33735.85,34039.95,2149.510447,73227813.87,52785
1.62587E+12,2021/7/9 23:00,BTC/USDT,33977.2,34030.47,33760,33815.81,1020.366073,34608793.83,24503
1.62587E+12,2021/7/9 22:00,BTC/USDT,33870.57,34100,33844.14,33977.19,1780.719479,60450232.3,71054
1.62586E+12,2021/7/9 21:00,BTC/USDT,33528.03,34053.69,33444.5,33870.56,2504.681988,84702029.92,58895
1.62586E+12,2021/7/9 20:00,BTC/USDT,33445.31,33549.55,33374.83,33528.02,958.745709,32088128.21,23471
1.62586E+12,2021/7/9 19:00,BTC/USDT,33382.02,33490,33287,33445.31,1009.617003,33704826.87,25922
1.62585E+12,2021/7/9 18:00,BTC/USDT,33481.06,33496.71,33342.57,33382.03,1043.165464,34854220.74,24044
1.62585E+12,2021/7/9 17:00,BTC/USDT,33527.24,33574.03,33421.68,33481.07,1224.53825,41003060.24,25970
1.62585E+12,2021/7/9 16:00,BTC/USDT,33558.81,33696.4,33435,33527.25,1690.591807,56721887.66,51976
1.62584E+12,2021/7/9 15:00,BTC/USDT,33534.75,33656,33479.24,33558.67,2082.684117,69892295.57,40139
1.62584E+12,2021/7/9 14:00,BTC/USDT,33423.3,33682.43,33330.8,33534.75,2843.225385,95262005.73,77637
1.62584E+12,2021/7/9 13:00,BTC/USDT,32996.49,33509.2,32953,33423.3,5013.070733,166959907.8,74649
1.62583E+12,2021/7/9 12:00,BTC/USDT,32774.99,32999,32635.08,32996.5,1959.314846,64286283.06,95239
1.62583E+12,2021/7/9 11:00,BTC/USDT,32898.1,32898.1,32667.72,32774.99,1279.154895,41912000.62,33223
1.62582E+12,2021/7/9 10:00,BTC/USDT,32914.42,33012.6,32810,32898.11,1278.259734,42061131.4,63255
1.62582E+12,2021/7/9 09:00,BTC/USDT,32808.16,33065,32782.7,32914.42,1844.800192,60740581.59,45543
1.62582E+12,2021/7/9 08:00,BTC/USDT,32902.13,32920,32598,32808.17,1796.766123,58869881.53,37283
1.62581E+12,2021/7/9 07:00,BTC/USDT,32869.54,32933.47,32760.35,32910.21,1393.561318,45793230.18,27079
1.62581E+12,2021/7/9 06:00,BTC/USDT,32997.83,33049.5,32742,32868.7,2497.809994,82123694.21,36954
1.62581E+12,2021/7/9 05:00,BTC/USDT,33028.96,33310,32965.01,32996.18,2359.942613,78156340.93,77305
1.6258E+12,2021/7/9 04:00,BTC/USDT,32941.81,33142.75,32892.85,33028.97,1420.190647,46898039.11,112292
1.6258E+12,2021/7/9 03:00,BTC/USDT,32952.72,33100,32750.11,32941.81,2450.32185,80765539.34,49688
1.6258E+12,2021/7/9 02:00,BTC/USDT,32674.67,33020.65,32600.66,32952.72,2186.086971,71736454.14,55528
1.62579E+12,2021/7/9 01:00,BTC/USDT,32392.48,32733.55,32261.07,32674.66,3073.139576,99744389.38,51129
1.62579E+12,2021/7/9 00:00,BTC/USDT,32875.71,32882.37,32375,32392.49,2443.185132,79623285.05,53573
1.62579E+12,2021/7/8 23:00,BTC/USDT,32557.44,32899.83,32550.88,32875.71,1289.251016,42252279.45,31283
1.62578E+12,2021/7/8 22:00,BTC/USDT,32700,32826,32508,32557.44,2212.170548,72129020.14,43083
1.62578E+12,2021/7/8 21:00,BTC/USDT,32800.26,32947.6,32682.01,32699.96,1536.319768,50455793.83,35103
1.62577E+12,2021/7/8 20:00,BTC/USDT,33002.45,33067.09,32753.34,32800.27,1405.12562,46269181.97,31436
