https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1636635600000,2021-11-11 13:00:00,BTC/USDT,64998.05000000,65150.00000000,64630.90000000,64747.73000000,1496.94561000,97073644.03650680,56531
1636632000000,2021-11-11 12:00:00,BTC/USDT,65255.87000000,65342.15000000,64651.92000000,64998.06000000,1798.15304000,116676562.51865800,67982
1636628400000,2021-11-11 11:00:00,BTC/USDT,65242.66000000,65349.57000000,64939.99000000,65255.88000000,1430.19948000,93194603.33850580,59547
1636624800000,2021-11-11 10:00:00,BTC/USDT,65378.00000000,65400.00000000,65079.80000000,65242.67000000,1216.09598000,79338735.79854050,48103
1636621200000,2021-11-11 09:00:00,BTC/USDT,65365.58000000,65600.07000000,65016.94000000,65378.00000000,1754.67775000,114687210.85653790,61806
1636617600000,2021-11-11 08:00:00,BTC/USDT,65228.41000000,65450.00000000,64550.55000000,65365.58000000,2947.06776000,191339738.77710720,84288
1636614000000,2021-11-11 07:00:00,BTC/USDT,64819.73000000,65414.94000000,64782.57000000,65228.40000000,1771.01686000,115323033.61859580,70728
1636610400000,2021-11-11 06:00:00,BTC/USDT,64677.76000000,64988.75000000,64492.35000000,64819.72000000,1231.06109000,79710822.39402960,56792
1636606800000,2021-11-11 05:00:00,BTC/USDT,64608.23000000,64900.00000000,64550.00000000,64677.77000000,1175.08490000,76036632.66867060,45148
1636603200000,2021-11-11 04:00:00,BTC/USDT,64746.17000000,64796.00000000,64383.46000000,64608.24000000,1204.14428000,77748016.41996090,44333
1636599600000,2021-11-11 03:00:00,BTC/USDT,64521.98000000,64896.55000000,64300.00000000,64746.18000000,1965.97349000,127026338.31205790,58503
1636596000000,2021-11-11 02:00:00,BTC/USDT,64739.90000000,64739.91000000,64100.00000000,64521.98000000,1617.16892000,104116021.26234010,58372
1636592400000,2021-11-11 01:00:00,BTC/USDT,64941.29000000,65062.79000000,64278.54000000,64739.90000000,2503.32594000,161832001.36449050,66679
1636588800000,2021-11-11 00:00:00,BTC/USDT,64882.42000000,65006.31000000,64157.35000000,64941.30000000,3164.68695000,204362761.86725180,90940
1636585200000,2021-11-10 23:00:00,BTC/USDT,65126.14000000,65130.65000000,64255.81000000,64882.43000000,2353.81509000,152289141.86846890,87409
1636581600000,2021-11-10 22:00:00,BTC/USDT,64251.19000000,65284.58000000,63800.00000000,65126.15000000,3282.92598000,212110679.05849700,154329
1636578000000,2021-11-10 21:00:00,BTC/USDT,65840.26000000,66200.01000000,62822.90000000,64251.23000000,11892.23478000,769150261.34064830,374311
1636574400000,2021-11-10 20:00:00,BTC/USDT,66650.98000000,67047.27000000,64885.98000000,65840.26000000,8166.89939000,540326482.80740510,245290
1636570800000,2021-11-10 19:00:00,BTC/USDT,67790.44000000,68013.64000000,66542.85000000,66650.99000000,2960.30553000,199060031.69871830,127841
1636567200000,2021-11-10 18:00:00,BTC/USDT,68635.12000000,68646.65000000,67553.99000000,67792.81000000,2813.96287000,191478418.38064550,94169
