date,timestamp,metal,exchange,currency,price,prev_close_price,ch,chp
2021-05-04,1620120600000,XAU,LBMA,USD,1784.95,1768.8,16.15,0.9048
2021-05-05,1620207000000,XAU,LBMA,USD,1778.05,1784.95,-6.9,-0.3881
2021-05-06,1620293400000,XAU,LBMA,USD,1793.15,1778.05,15.1,0.8421
2021-05-07,1620379800000,XAU,LBMA,USD,1820.5,1793.15,27.35,1.5023
2021-05-08,1620466200000,XAU,LBMA,USD,1820.5,1820.5,0.0,0.0
2021-05-09,1620552600000,XAU,LBMA,USD,1820.5,1820.5,0.0,0.0
2021-05-10,1620639000000,XAU,LBMA,USD,1834.15,1820.5,13.65,0.7442
2021-05-11,1620725400000,XAU,LBMA,USD,1837.15,1834.15,3.0,0.1633
2021-05-12,1620811800000,XAU,LBMA,USD,1833.6,1837.15,-3.55,-0.1936
2021-05-13,1620898200000,XAU,LBMA,USD,1814.3,1833.6,-19.3,-1.0638
2021-05-14,1620984600000,XAU,LBMA,USD,1833.5,1814.3,19.2,1.0472
2021-05-15,1621071000000,XAU,LBMA,USD,1833.5,1833.5,0.0,0.0
2021-05-16,1621157400000,XAU,LBMA,USD,1833.5,1833.5,0.0,0.0
2021-05-17,1621243800000,XAU,LBMA,USD,1848.45,1833.5,14.95,0.8088
2021-05-18,1621330200000,XAU,LBMA,USD,1867.4,1848.45,18.95,1.0148
2021-05-19,1621416600000,XAU,LBMA,USD,1860.0,1867.4,-7.4,-0.3978
2021-05-20,1621503000000,XAU,LBMA,USD,1869.35,1860.0,9.35,0.5002
2021-05-21,1621589400000,XAU,LBMA,USD,1877.65,1869.35,8.3,0.442
2021-05-22,1621675800000,XAU,LBMA,USD,1877.65,1877.65,0.0,0.0
2021-05-23,1621762200000,XAU,LBMA,USD,1877.65,1877.65,0.0,0.0
2021-05-24,1621848600000,XAU,LBMA,USD,1876.85,1877.65,-0.8,-0.0426
2021-05-25,1621935000000,XAU,LBMA,USD,1882.8,1876.85,5.95,0.316
2021-05-26,1622021400000,XAU,LBMA,USD,1904.3,1882.8,21.5,1.129
2021-05-27,1622107800000,XAU,LBMA,USD,1895.05,1904.3,-9.25,-0.4881
2021-05-28,1622194200000,XAU,LBMA,USD,1892.45,1895.05,-2.6,-0.1374
2021-05-29,1622280600000,XAU,LBMA,USD,1892.45,1892.45,0.0,0.0
2021-05-30,1622367000000,XAU,LBMA,USD,1892.45,1892.45,0.0,0.0
2021-05-31,1622453400000,XAU,LBMA,USD,1892.45,1892.45,0.0,0.0
2021-06-01,1622539800000,XAU,LBMA,USD,1907.7,1892.45,15.25,0.7994
2021-06-02,1622626200000,XAU,LBMA,USD,1895.9,1907.7,-11.8,-0.6224
2021-06-03,1622712600000,XAU,LBMA,USD,1892.15,1895.9,-3.75,-0.1982
2021-06-04,1622799000000,XAU,LBMA,USD,1869.55,1892.15,-22.6,-1.2088
2021-06-05,1622885400000,XAU,LBMA,USD,1869.55,1869.55,0.0,0.0
2021-06-06,1622971800000,XAU,LBMA,USD,1869.55,1869.55,0.0,0.0
2021-06-07,1623058200000,XAU,LBMA,USD,1882.05,1869.55,12.5,0.6642
2021-06-08,1623144600000,XAU,LBMA,USD,1892.05,1882.05,10.0,0.5285
2021-06-09,1623231000000,XAU,LBMA,USD,1890.45,1892.05,-1.6,-0.0846
2021-06-10,1623317400000,XAU,LBMA,USD,1882.0,1890.45,-8.45,-0.449
2021-06-11,1623403800000,XAU,LBMA,USD,1891.95,1882.0,9.95,0.5259
2021-06-12,1623490200000,XAU,LBMA,USD,1891.95,1891.95,0.0,0.0
2021-06-13,1623576600000,XAU,LBMA,USD,1891.95,1891.95,0.0,0.0
2021-06-14,1623663000000,XAU,LBMA,USD,1859.75,1891.95,-32.2,-1.7314
2021-06-15,1623749400000,XAU,LBMA,USD,1863.85,1859.75,4.1,0.22
2021-06-16,1623835800000,XAU,LBMA,USD,1858.1,1863.85,-5.75,-0.3095
2021-06-17,1623922200000,XAU,LBMA,USD,1806.75,1858.1,-51.35,-2.8421
