pubDateTime,title
2021-11-26 18:30:43,英格蘭銀行行長：對薩爾瓦多採用比特幣作為其貨幣「令人擔憂」
2021-11-26 17:27:47,加密貨幣也難逃變種病毒痛擊 比特幣退守55000美元關卡
2021-11-26 16:00:44,墨西哥億萬富翁：建議立即購買比特幣
2021-11-26 13:30:19,比特幣上路近三個月！實地採訪薩爾瓦多：採用度兩極化，僅麥當勞、星巴克等連鎖店接受
2021-11-26 12:30:31,鞍山公安破獲一起盜電「挖」比特幣案，收繳礦機161台
2021-11-26 10:30:44,「銀行被操縱，我們更相信一夜龐氏騙局」南方四賤客：未來就是比特幣
2021-11-26 10:01:09,《南方公園》最新劇集稱比特幣未來將成為主流支付手段
2021-11-26 10:01:08,報告：2021年比特幣網路每個季度處理的交易量都高於Paypal
2021-11-26 02:30:22,英國央行行長：比特幣作為本國貨幣來說波動性太大
2021-11-25 23:42:50,印度意在監管而非禁止 比特幣、以太幣價格回升
2021-11-25 23:00:43,比特幣礦企Fortress Technologies Q3財報：凈收入達到350萬美元
2021-11-25 22:00:55,MicroStrategy CEO：比特幣是「數字財產」
2021-11-25 22:00:54,數據：非零比特幣地址數量達到3876萬個
2021-11-25 19:51:54,〈美股要聞整理〉美股感恩節休市 美股期貨上升
2021-11-25 18:00:44,數據：2021年，比特幣處理的交易金額比PayPal多62%
2021-11-25 16:30:37,知情人士：比特幣礦商Griid與Adit(ADEX.US)洽談合併上市
2021-11-25 16:00:34,洞見、環球機會基金第三季增持約60%灰度比特幣信託
2021-11-25 14:30:15,以比特幣為主角的Pokémon Go！比特幣簽帳卡公司Fold進軍元宇宙
2021-11-25 12:30:45,大摩Q3狂掃這檔加密貨幣基金 比特幣投資曝險逾3億美元
2021-11-25 07:30:30,薩爾瓦多駐美大使：比特幣挑戰了美元的權威
2021-11-25 02:30:12,美國職業足球大聯盟球星Kieran Gibbs計劃將一半薪水轉換為比特幣
2021-11-25 00:00:58,第三大比特幣鯨魚在不到兩周時間內購買了價值3.75億美元的比特幣
2021-11-24 19:30:19,印度或禁止大部分加密貨幣引發恐慌性拋售，比特幣折價超3%
2021-11-24 19:30:14,薩爾瓦多的美元債務因比特幣債券計劃而跳水
2021-11-24 15:41:14,《窮爸爸富爸爸》作者：通貨膨脹讓富人更富，正在購買更多的比特幣，以太坊等資產
2021-11-24 13:35:51,美國監管部門發布聲明 為加密貨幣監管奠定基調
2021-11-24 12:00:12,Jack Dorsey公布₿trust比特幣捐贈基金進展：將從6名最終候選人中確定3個董事會成員
2021-11-24 10:30:27,休斯頓科技公司 Lancium 斥資 1.5 億美元在德克薩斯州建造比特幣礦
2021-11-24 10:12:00,摺疊與神奇寶貝Go開發商Niantic合作構建比特幣元宇宙
2021-11-23 23:30:45,美國最大電影院連鎖品牌Regal Cinemas接受比特幣支付
2021-11-23 23:00:29,Galaxy Digital發布用於計算比特幣挖礦成本的新版模型
2021-11-23 20:00:33,非洲比特幣交易所Busha種子輪融資420萬美元
2021-11-23 17:30:48,IMF：比特幣會給消費者帶來「重大風險」
2021-11-23 16:00:43,IMF：比特幣不應被用作法定貨幣
2021-11-23 16:00:41,富達、瑞銀和道富環球正考慮推出比特幣等加密貨幣敞口產品
2021-11-23 15:50:10,IMF呼籲薩爾瓦多 勿將比特幣用為法定貨幣
2021-11-23 14:00:48,澳洲ASIC正試圖追回一筆牽涉詐騙案件的2900萬美元比特幣
2021-11-23 13:00:49,報告：比特幣長期持有者持倉量處於數年來高點，市場尚未因獲利了結而飽和
2021-11-23 10:30:41,數據：比特幣非零地址數達3939萬 創歷史新高
2021-11-23 08:30:11,NFL球員小奧德爾-貝克漢姆將以比特幣領取工資
2021-11-23 08:00:20,國際貨幣基金組織：比特幣交易所帶來的風險應該得到解決
2021-11-22 23:00:36,路透社：Mt Gox破產清算風險或致比特幣料獲得創半年最差單周表現
2021-11-22 22:00:56,大數據公司Phunware以大約2380萬美元購買了額外的398枚比特幣
2021-11-22 20:00:30,Celsius Network向其在北美的比特幣挖礦業務追加3億美元投資
2021-11-22 19:30:41,薩爾瓦多總統：完善比特幣城市的基礎設施預計需要耗資約30萬比特幣
2021-11-22 19:30:38,Galaxy Digital Holdings CEO：比特幣只是一種更好的儲存價值版本
2021-11-22 18:30:21,加密貨幣貸方Celsius將比特幣採礦投資增加至5億美元
2021-11-22 17:00:37,數據：比特幣錨定幣流通量突破32萬枚
2021-11-22 17:00:35,比特幣協會作為準會員加入日本加密資產商業協會，以支持BSV在亞洲的發展
2021-11-22 15:00:18,斯諾登：自己在10年前就曾通過比特幣支付維基解密服務器的費用
2021-11-22 12:30:51,CME 比特幣期貨未平倉總量自13821張降至13648張
2021-11-22 11:30:46,ARK Invest CEO：機構投資者關注比特幣，部分原因是它與其他資產缺乏相關性
2021-11-22 11:30:45,薩爾瓦多將建世界首座「比特幣城」：利用火山地熱發電、只收增值稅
2021-11-22 00:01:26,分析師：比特幣跌破6萬美元對黃金可能是好消息
2021-11-21 20:30:45,三箭資本聯合創始人：比特幣和以太坊都對過去有太多的懷舊之情
2021-11-21 20:00:20,美國因經營無牌比特幣交易業務判處男子 3 年監禁
2021-11-21 16:00:33,比特幣算力飈升，挖礦難度達到最高水平
2021-11-21 09:00:55,數據:比特幣市值占比為41.0%
2021-11-20 15:30:44,馬斯克回復網友稱「比特幣可以治癒癌症」
2021-11-20 13:00:15,美國一男子因比特幣洗錢被判3年監禁
2021-11-20 13:00:14,推特為安卓用戶推出比特幣小費支付功能
2021-11-20 12:00:59,JBP播客主持人：又買了一些比特幣，該死的通貨膨脹
2021-11-20 10:30:44,"PlanB堅稱比特幣將在 11 月底前達到 98,000 美元"
2021-11-20 10:00:25,第三大比特幣巨鯨或是一家加密貨幣交易所
2021-11-20 07:00:38,CME比特幣期貨11月合約收報57560美元
2021-11-20 05:00:38,數據：比特幣閃電網路節點數量為30192個
2021-11-20 02:00:18,聯準會理事：比特幣「基本上是電子黃金」
2021-11-19 17:30:20,德商銀行CEO：比特幣既不是鈔票，也不是通用貨幣
2021-11-19 16:26:40,分析師：投資者對比特幣下跌恐懼不足 恐延緩反彈時機
2021-11-19 13:47:46,〈鉅亨幣圈理財〉買幣HODL的人有福了！POKKET存幣收息起手式
2021-11-19 12:30:16,澳洲主要棒球隊珀斯熱火隊以比特幣支付球員並在資產負債表上持有比特幣
2021-11-19 09:30:48,加密貨幣公司高管因從聯名帳戶竊取 6000 個比特幣而被判入獄
2021-11-19 07:30:26,美SEC指控加州男子通過欺詐性證券發行籌集360萬美元比特幣
2021-11-19 06:00:48,PAYPAL在付款過程中為數百萬商戶啟用了比特幣支付
2021-11-19 02:00:33,調查：41%的受訪者更信任比特幣而不是當地貨幣
2021-11-18 23:01:09,比特數字宣布所有比特幣礦機已遷出中國
2021-11-18 18:00:17,俄羅斯央行行長：我們認為比特幣在金融結算中合法化是不對的
2021-11-18 17:00:19,安聯首席經濟學家：比特幣不會成為一種全球貨幣
2021-11-18 15:40:15,社群媒體喊著「逢低買進」 通常表示比特幣還要再跌一段期間
2021-11-18 15:00:30,美國司法部正出售5600萬美元加密貨幣 以償還龐氏騙局受害者
2021-11-18 13:50:28,女股神：比特幣有望在2026年達到56萬美元
2021-11-18 12:01:17,Marathon Digital：比特幣暴跌80%才會讓其無利可圖
2021-11-18 11:31:16,比特幣挖礦公司Iris Energy正式登陸那斯達克
2021-11-18 11:31:09,富達獲准成為加拿大首個比特幣託管商
2021-11-18 11:30:52,ARK創始人：比特幣5年內有望達到56萬美元
2021-11-17 12:00:38,澳洲棒球隊將用比特幣向球員和雇員支付薪水
2021-11-17 11:31:22,比特幣跌破59000美元
2021-11-17 10:30:31,Global X ETFs 推出區塊鏈和比特幣策略 ETF 「BITS」
2021-11-17 10:01:20,NYDIG與休斯敦火箭隊達成合作，計劃用比特幣向其支付特許經營權使用費
2021-11-17 09:30:23,Tether推出Synonym公司旨在通過閃電網路促進比特幣的採用
2021-11-17 08:00:53,VanEck比特幣期貨ETF首日資金規模為960萬美元
2021-11-17 00:00:45,休斯頓火箭隊宣布與比特幣公司NYDIG建立合作夥伴關係
2021-11-17 00:00:44,VanEck比特幣期貨ETF已正式開啟交易
2021-11-16 20:06:59,比特幣持續自高點崩落 一度失守6萬美元關卡
2021-11-16 19:58:31,美中擬擴大監管 加密貨幣單日挫逾1成 板卡廠再遇壓
2021-11-16 19:01:19,CME 比特幣期貨未平倉總量自13512張上升至13821張
2021-11-16 18:30:23,比特幣跌破60000美元，為11月1日以來首次
2021-11-16 18:30:20,CoinShares：比特幣的機構資金流入創下新紀錄
2021-11-16 18:00:42,數據：第三大非交易所比特幣巨鯨地址今日購入207個比特幣
2021-11-16 18:00:40,美股區塊鏈概念盤前大跌，比特幣跌逾4%回至61000美元下方
2021-11-16 17:01:09,美國銀行調查：調查對象中37%做多科技股，21%做多比特幣
2021-11-16 14:30:07,安聯首席經濟學家：當投機者被「動搖」時才會再次購買比特幣
2021-11-16 13:34:20,比特幣急跌逾7%至約6萬美元 北京重申打擊虛擬貨幣挖礦
2021-11-16 11:01:17,推特首席財務官：目前將公司現金投資於比特幣或以太坊等加密資產是沒有意義的
2021-11-16 11:01:10,國家發改委新聞發言人孟瑋：下一步我們將以產業式集中式「挖礦」、國有單位涉及「挖礦」和比特幣「挖礦」為重點開展全面整治
2021-11-16 10:00:53,Marathon Digital收到與其比特幣挖礦數據中心有關的傳票
2021-11-16 07:00:53,比特幣基金資產管理規模升至560億美元
